TWS_WORKSTATION_NAME,TWS_BATCH_NAME,SUCCESSOR_TWS_WORKSTATION_NAME,SUCCESSOR_TWS_BATCH_NAME,SUCCESSOR_TWS_JOB_NAME
RDWETLPRD,SRV_STG1_DLY,RDWETLPRD,SRV_TRG_DLY,
RDWETLPRD,IFCH_RDW_GDW_CD,RDWETLPRD,IFCH_RDW_DLY,
RDWETLPRD,WIDF010SC_EXT1,RDWETLPRD,WIDF010SC_EXT3,
RDWETLPRD,WIDF010SC_EXT1,RDWETLPRD,WIDF010SC_EXT2,
RDWETLPRD,RY6_TO_RDW_TCDR,RDWETLPRD,ADS_START_MLY,
RDWETLPRD,RY6_TO_RDW_TCDR,RDWETLPRD,FNP_AT_MART_WD17,
RDWETLPRD,RY6_TO_RDW_TCDR,RDWETLPRD,ADSSNT_PREXT_MLY,
RDWETLPRD,RY6_TO_RDW_TCDR,RDWETLPRD,ADSCRF_PREXT_MLY,
RDWETLPRD,CORL010SC_STG,RDWETLPRD,CON_LOCCRL_DLY,
RDWETLPRD,TRY010SC,RDWETLPRD,TRYEODBATCH,
RDWETLPRD,CMSL106SC_STG4,RDWETLPRD,WIDC106SC_EXT4,
RDWETLPRD,CMSL106SC_STG4,RDWETLPRD,CMSLEODBATCH,
RDWETLPRD,ECL010SC_STG29,RDWETLPRD,ECLEODBATCH,
RDWETLPRD,ECL010SC_STG29,RDWETLPRD,ECL010SC_STG76,
RDWETLPRD,MRT010SC_STG25,RDWETLPRD,RAYEODBATCH_NCF,
RDWETLPRD,MRT010SC_STG25,RDWETLPRD,MRT010SC_STG33,
RDWETLPRD,MRT010SC_STG9,RDWETLPRD,RAYEODBATCH,
RDWETLPRD,COGC010SC_6,RDWETLPRD,COGEODBATCH,
RDWETLPRD,CONPARTYFBSDLY,RDWETLPRD,CONKEYBATCH,
RDWETLPRD,CONPARTYFBSDLY,RDWETLPRD,CONRATFBSDLY,
RDWETLPRD,CONPARTYFBSDLY,RDWETLPRD,CONPARCOGISMSDLY,
RDWETLPRD,MIF_STG3_DLY,RDWETLPRD,MIF_TRG_DLY,
RDWETLPRD,SCB_STG5_DLY,RDWETLPRD,SCB_TRG_DLY,
RDWETLPRD,SRV_STG_DLY,RDWETLPRD,CONSRVDIM_DLY1,
RDWETLPRD,SRV_STG_DLY,RDWETLPRD,CONLOCSRV_DLY,
RDWETLPRD,AAH_STG1_DLY,RDWETLPRD,AAH_TRG_DLY,
RDWETLPRD,GRM010SC_STG13,RDWETLPRD,GRMEODBATCH,
RDWETLPRD,MIS_STG3_DLY,RDWETLPRD,MIS_TRG_DLY,
RDWETLPRD,IFR_HDSEOD_DLY,RDWETLPRD,RAY_PROV_MLY,
RDWETLPRD,EXT119SC,RDWETLPRD,EXTEODBATCH,
RDWETLPRD,CMACOMM_STG1,RDWETLPRD,CMACOMM_TRG,
RDWETLPRD,CON_ARR_ACS_DLY,RDWETLPRD,COGC010SC_COG,
RDWETLPRD,CON_ARR_ACS_DLY,RDWETLPRD,CON_ARR_FST_DAY,
RDWETLPRD,CON_ARR_ACS_DLY,RDWETLPRD,CONARR_HL_EXPIRE,
RDWETLPRD,CON_ARR_ACS_DLY,RDWETLPRD,CON_ARR_MTH_END,
RDWETLPRD,CON_ARR_ACS_DLY,RDWETLPRD,CON_IEMSTAT_DLY,
RDWETLPRD,RDM013SC_SME,RDWETLPRD,FNP_AT_MART_WD17,
RDWETLPRD,RDM013SC_SME,RDWETLPRD,RDM013SC_LBG,
RDWETLPRD,CLS_STG9_DLY,RDWETLPRD,CLS_TRG_DLY,
RDWETLPRD,DNB_STG1_YLY,RDWETLPRD,DNB_STG2_EOY,
RDWETLPRD,PIL104SC_RS1,RDWETLPRD,PIL104SC,
RDWETLPRD,ORG101SC_RS1,RDWETLPRD,ORGEODBATCH,
RDWETLPRD,CRRPACKLASTDAY,RDWETLPRD,CRREODBATCH,
RDWETLPRD,BEN191SC_RS1,RDWETLPRD,BENEODBATCH,
RDWETLPRD,FNP_MNL_MRT_IO11,RDWETLPRD,FNP_MNL_MRT_IO17,
RDWETLPRD,RAY_SUB_TYPE_MLY,RDWETLPRD,RAY_LD_WD5_MLY,
RDWETLPRD,ECL010SC_STG1,RDWETLPRD,ECL010SC_STG75,
RDWETLPRD,ECL010SC_STG1,RDWETLPRD,ECLEODBATCH,
RDWETLPRD,GRM010SC_STG1,RDWETLPRD,CONFACGRM_DLY,
RDWETLPRD,GRM010SC_STG1,RDWETLPRD,CONPARLOCGRM_DLY,
RDWETLPRD,GRM010SC_STG1,RDWETLPRD,GRMEODBATCH,
RDWETLPRD,GRM010SC_STG1,RDWETLPRD,GRM010SC_STG13,
RDWETLPRD,ALL010SC_STG44,RDWETLPRD,ALLEODBATCH,
RDWETLPRD,ECL010SC_STG32,RDWETLPRD,ECL010SC_STG77,
