Schedule name,Job name,host,scriptname,streamlogon,description,recovery,rccondsucc,type,AT,EVERY,UNTIL
AAH_HDS1_DLY,AAH00005,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh CCC_CC_CBS_ACCOUNTING_SNP_Load,^BIRPRDID^,CCC_CC_CBS_ACCOUNTING_SNP_Load,STOP,,UNIX,,,
AAH_HDS1_DLY,AAH00010,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh CCC_CC_CBS_PRODUCT_ACCOUNT_SNP_Load,^BIRPRDID^,CCC_CC_CBS_PRODUCT_ACCOUNT_SNP_Load,STOP,,UNIX,,,
AAH_STG1_DLY,AAH00001,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh CC_AAH_PreProcess CC-CBS_Accounting,^BIRPRDID^,CC_AAH_PreProcess CC-CBS_Accounting,STOP,,UNIX,,,
AAH_STG1_DLY,AAH00002,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh CCC_CC_CBS_ACCOUNTING_Extract,^BIRPRDID^,CCC_CC_CBS_ACCOUNTING_Extract,STOP,,UNIX,,,
AAH_STG1_DLY,AAH00003,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh CC_AAH_Reconciliation CC-CBS_Accounting,^BIRPRDID^,CC_AAH_Reconciliation CC-CBS_Accounting,STOP,,UNIX,,,
AAH_STG1_DLY,AAH00004,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh CCC_CC_CBS_ACCOUNTING_Load,^BIRPRDID^,CCC_CC_CBS_ACCOUNTING_Load,STOP,,UNIX,,,
AAH_STG1_DLY,AAH00006,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh CC_AAH_PreProcess CC-CBS_Product_Account,^BIRPRDID^,CC_AAH_PreProcess CC-CBS_Product_Account,STOP,,UNIX,,,
AAH_STG1_DLY,AAH00007,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh CCC_CC_CBS_PRODUCT_ACCOUNT_Extract,^BIRPRDID^,CCC_CC_CBS_PRODUCT_ACCOUNT_Extract,STOP,,UNIX,,,
AAH_STG1_DLY,AAH00008,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh CC_AAH_Reconciliation CC-CBS_Product_Account,^BIRPRDID^,CC_AAH_Reconciliation CC-CBS_Product_Account,STOP,,UNIX,,,
AAH_STG1_DLY,AAH00009,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh CCC_CC_CBS_PRODUCT_ACCOUNT_Load,^BIRPRDID^,CCC_CC_CBS_PRODUCT_ACCOUNT_Load,STOP,,UNIX,,,
AAH_TRG_DLY,AAH00011,RDWETLPRD,^BIRPRDSC^/DelTrg_RDW_AAH_DLY_stg.ksh,^BIRPRDID^,DELETING TRIGGER FILES,STOP,,UNIX,,,
ACB010SC,BIR3415,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh ACBCOGCustomerPreProcess,^BIRPRDID^,ACBS daily COG customer preprocess,RERUN,,UNIX,,,
ACB010SC,BIR3416,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh ACBCOGCustomerTrans,^BIRPRDID^,ACBS daily COG customer trans,STOP,,UNIX,,,
ACB010SC,BIR3417,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh ACBCOGCustomerLoad,^BIRPRDID^,ACBS daily COG customer load,RERUN,,UNIX,,,
ACB010SC,BIR3418,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh ACBCOGFacilityPreProcess,^BIRPRDID^,ACBS daily cog facility preprocess,RERUN,,UNIX,,,
ACB010SC,BIR3419,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh ACBCOGFacilityTrans,^BIRPRDID^,ACBS daily COG facility trans,STOP,,UNIX,,,
ACB010SC,BIR3420,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh ACBCOGFacilityLoad,^BIRPRDID^,ACBS daily cog facility load,RERUN,,UNIX,,,
ACB010SC,BIR3421,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh ACBCOGLoanPreProcess,^BIRPRDID^,ACBS daily cog loan preprocess,RERUN,,UNIX,,,
ACB010SC,BIR3422,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh ACBCOGLoanTrans,^BIRPRDID^,ACBS daily customer file preprocess,STOP,,UNIX,,,
ACB010SC,BIR3423,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh ACBCOGLoanLoad,^BIRPRDID^,URBIS daily customer file preprocess,RERUN,,UNIX,,,
ACB010SC,BIR3424,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh ACBIASAccountPreProcess,^BIRPRDID^,ACBS daily ias account preprocess,RERUN,,UNIX,,,
ACB010SC,BIR3425,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh ACBIASAccountTrans,^BIRPRDID^,ACBS daily ias account trans,STOP,,UNIX,,,
ACB010SC,BIR3426,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh ACBIASAccountLoad,^BIRPRDID^,ACBS daily ias account load,RERUN,,UNIX,,,
ACB010SC,BIR3427,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh ACBIASFeePreProcess,^BIRPRDID^,ACBS daily ias fee preprocess,RERUN,,UNIX,,,
ACB010SC,BIR3428,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh ACBIASFeeTrans,^BIRPRDID^,ACBS daily ias fee trans,STOP,,UNIX,,,
ACB010SC,BIR3429,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh ACBIASFeeLoad,^BIRPRDID^,ACBS daily ias fee load,RERUN,,UNIX,,,
ACB010SC,BIR3430,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh ACBPLERMultiFormatFileSplit,^BIRPRDID^,ACBS daily PLER multi format file split,RERUN,,UNIX,,,
ACB010SC,BIR3431,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh ACBPLERObligorTrans,^BIRPRDID^,ACBS daily PLER obligator trans,RERUN,,UNIX,,,
ACB010SC,BIR3432,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh ACBPLERObligorLoad,^BIRPRDID^,ACBS daily PLER obligator load,RERUN,,UNIX,,,
ACB010SC,BIR3433,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh ACBPLERTransactionTrans,^BIRPRDID^,ACBS daily PLER transaction trans,RERUN,,UNIX,,,
ACB010SC,BIR3434,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh ACBPLERTransactionLoad,^BIRPRDID^,ACBS daily PLER transaction load,RERUN,,UNIX,,,
ACB010SC,BIR3435,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh ACBPLERTransValTrans,^BIRPRDID^,ACBS daily PLER trans val trans,RERUN,,UNIX,,,
ACB010SC,BIR3436,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh ACBPLERTransValLoad,^BIRPRDID^,ACBS daily PLER trans val load,RERUN,,UNIX,,,
ACB010SC,BIR3437,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh ACBPLERTransMvmtTrans,^BIRPRDID^,ACBS daily PLER trans movement trans,RERUN,,UNIX,,,
ACB010SC,BIR3438,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh ACBPLERTransMvmtLoad,^BIRPRDID^,ACBS daily PLER trans movement load,RERUN,,UNIX,,,
ACB010SC,BIR3439,RDWETLPRD,^BIRPRDSC^/Deltrg_acb010sc.sh,^BIRPRDID^,ACBS daily remove trigger files,STOP,,UNIX,,,
ACB010SC,BIR3491,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh ACBFeeLoad,^BIRPRDID^,ACBS daily load,STOP,,UNIX,,,
ACB010SC,BIR3492,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh ACBAdvancesLoad,^BIRPRDID^,ACBS daily load,STOP,,UNIX,,,
ACB010SC,BIR3493,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh ACBFundingLoad,^BIRPRDID^,ACBS daily load,STOP,,UNIX,,,
ACB010SC,BIR3494,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh ACBFeeAmortisationLoad,^BIRPRDID^,ACBS daily load,STOP,,UNIX,,,
ACB010SC,BIR3495,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh ACBFeePayoffLoad,^BIRPRDID^,ACBS daily load,STOP,,UNIX,,,
ACB010SC,BIR3496,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh ACBLoanBrkdwnLoad,^BIRPRDID^,ACBS daily load,STOP,,UNIX,,,
ACB010SC,BIR3497,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh ACBSegThreeNominalLoad,^BIRPRDID^,ACBS daily load,STOP,,UNIX,,,
ACB010SC,BIR6363,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh Acbs_Agency_Facility_ODS_Trans,^BIRPRDID^,ADDED BY MAESTRO,STOP,,UNIX,,,
ACB010SC,BIR6364,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh Acbs_Agency_Facility_ODS_Load,^BIRPRDID^,ADDED BY MAESTRO,STOP,,UNIX,,,
ACB010SC,BIR6365,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh Acbs_Agency_Investors_ODS_Trans,^BIRPRDID^,ADDED BY MAESTRO,STOP,,UNIX,,,
ACB010SC,BIR6366,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh Acbs_Agency_Investors_ODS_Load,^BIRPRDID^,ADDED BY MAESTRO,STOP,,UNIX,,,
ACB010SC,BIR6367,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh Acbs_Agency_Waiver_Fees_ODS_Trans,^BIRPRDID^,ADDED BY MAESTRO,STOP,,UNIX,,,
ACB010SC,BIR6368,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh Acbs_Agency_Waiver_Fees_ODS_Load,^BIRPRDID^,ADDED BY MAESTRO,STOP,,UNIX,,,
ACB010SC,BIR6369,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh Acbs_Agency_Connection_Fees_ODS_Trans,^BIRPRDID^,ADDED BY MAESTRO,STOP,,UNIX,,,
ACB010SC,BIR6370,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh Acbs_Agency_Connection_Fees_ODS_Load,^BIRPRDID^,ADDED BY MAESTRO,STOP,,UNIX,,,
ACB010SC,BIR6371,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh AcbsCollectConnectionTrans,^BIRPRDID^,ADDED BY MAESTRO,STOP,,UNIX,,,
ACB010SC,BIR6372,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh AcbsGroupLEDescTrans,^BIRPRDID^,ADDED BY MAESTRO,STOP,,UNIX,,,
ACB010SC,BIR6373,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh AcbsInvestorsFacilityTrans,^BIRPRDID^,ADDED BY MAESTRO,STOP,,UNIX,,,
ACB010SC,BIR6374,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh AcbsFacilityParticipantTrans,^BIRPRDID^,ADDED BY MAESTRO,STOP,,UNIX,,,
ACB010SC,BIR6375,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh AcbsCBSAccountTrans,^BIRPRDID^,ADDED BY MAESTRO,RERUN,,UNIX,,,
ACB010SC,BIR6376,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh AcbsCBSCDCConnectionTrans,^BIRPRDID^,ADDED BY MAESTRO,RERUN,,UNIX,,,
ACB010SC,BIR6377,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh AcbsCBSConnectionLoad,^BIRPRDID^,ADDED BY MAESTRO,RERUN,,UNIX,,,
ACB010SC,BIR6378,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh AcbsNonLinkFacilityTrans,^BIRPRDID^,ADDED BY MAESTRO,STOP,,UNIX,,,
ACB010SC,BIR6379,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh AcbsNoLinkCDCConnectionTrans,^BIRPRDID^,ADDED BY MAESTRO,STOP,,UNIX,,,
ACB010SC,BIR6380,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh AcbsCBSConnectionLoad,^BIRPRDID^,ADDED BY MAESTRO,STOP,,UNIX,,,
ACB010SC,BIR6637,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh ACBSEventODSLoad,^BIRPRDID^,ADDED BY MAESTRO,RERUN,,UNIX,,,
ACB010SC_STG,BIR6241,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh AcbsCustomerSeq,^BIRPRDID^,ACBS,RERUN,,UNIX,,,
ACB010SC_STG,BIR6242,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh AcbsFacilitiesSeq,^BIRPRDID^,ACBS,RERUN,,UNIX,,,
ACB010SC_STG,BIR6243,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh AcbsFundingSeq,^BIRPRDID^,ACBS,RERUN,,UNIX,,,
ACB010SC_STG,BIR6244,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh AcbsLoanSeq,^BIRPRDID^,ACBS,RERUN,,UNIX,,,
ACB010SC_STG,BIR6245,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh AcbsEventsSeq,^BIRPRDID^,ACBS,STOP,,UNIX,,,
ACB010SC_STG,BIR6355,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh Acbs_Agency_Facility_Trans,^BIRPRDID^,ADDED BY MAESTRO,STOP,,UNIX,,,
ACB010SC_STG,BIR6356,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh Acbs_Agency_Facility_Load,^BIRPRDID^,ADDED BY MAESTRO,RERUN,,UNIX,,,
ACB010SC_STG,BIR6357,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh Acbs_Agency_Investors_Trans,^BIRPRDID^,ADDED BY MAESTRO,RERUN,,UNIX,,,
ACB010SC_STG,BIR6358,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh Acbs_Agency_Investors_Load,^BIRPRDID^,ADDED BY MAESTRO,RERUN,,UNIX,,,
ACB010SC_STG,BIR6359,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh Acbs_Agency_Waiver_Fees_Trans,^BIRPRDID^,ADDED BY MAESTRO,RERUN,,UNIX,,,
ACB010SC_STG,BIR6360,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh Acbs_Agency_Waiver_Fees_Load,^BIRPRDID^,ADDED BY MAESTRO,RERUN,,UNIX,,,
ACB010SC_STG,BIR6361,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh Acbs_Agency_Connection_Fees_Trans,^BIRPRDID^,ADDED BY MAESTRO,RERUN,,UNIX,,,
ACB010SC_STG,BIR6362,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh Acbs_Agency_Connection_Fees_Load,^BIRPRDID^,ADDED BY MAESTRO,RERUN,,UNIX,,,
ACB010SC_STG,BIR6934,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh AcbsTransactionSeq,^BIRPRDID^,ADDED BY MAESTRO,RERUN,,UNIX,,,
ACBEODBATCH,ACBEOB01,RDWETLPRD,echo 'Batch Complete',^BIRPRDID^,End Of Batch marker job for ACB,CONTINUE,,UNIX,,,
ACBSUSEDBTCH_LCD,ACBEOB02,RDWETLPRD,echo 'Batch Complete',^BIRPRDID^,End Of Batch marker job for ACBSUS,CONTINUE,,UNIX,,,
ACBSUSEODBATCH,ACBEOB02,RDWETLPRD,echo 'Batch Complete',^BIRPRDID^,End Of Batch marker job for ACBSUS,CONTINUE,,UNIX,,,
ACC_UPD_DAILY,BIR0089,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh BirtCreateAccountDailyLookups,^BIRPRDID^,Daily Create Account Lookups,RERUN,,UNIX,,,
ACC_UPD_DAILY,BIR0090,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh BirtUpdateAccountDailyHistory,^BIRPRDID^,Daily Update Account History,RERUN,,UNIX,,,
ACC_UPD_MONTHLY,BIR0091,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh BirtUpdateAccountMonthlyHistory,^BIRPRDID^,Monthly Update Account History,RERUN,,UNIX,,,
ACC_UPD_MONTHLY,BIR0092,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh BirtSetMonthEndDates,^BIRPRDID^,Monthly Update Account History,RERUN,,UNIX,,,
ACCEODBATCH,ACCEOB01,RDWETLPRD,echo 'Batch Complete',^BIRPRDID^,End Of Batch marker job for ACC,CONTINUE,,UNIX,,,
ACN010SC_STG1,ACN0001,RDWETLPRD,^BIRPRDSC^/MaestroCallJob.sh RRM_ACN_PreProcess DSCACS,^BIRPRDID^,RRM_ACN_PreProcess DSCACS,RERUN,,UNIX,,,
