INI_FILE_NAME,PROJECT_NAME,SEQ_NAME,JOB_SEQ_NAME,FINAL_JOB_NAME,TWS_JOB_NAME,TWS_BATCH_NAME, ,JOB_STREAM_TYPE
ACBSAccountExtract,prod,,ACBSAccountExtract,ACBSAccountExtract,BIR2381,ALM010SC,,
ACN_DIM_MIS_AE_HIERARCHY_Extract,BCBS_Staging01,,ACN_DIM_MIS_AE_HIERARCHY_Extract,ACN_DIM_MIS_AE_HIERARCHY_Extract,ACN00561,ACN_STG3_DLY,,
ACN_DIM_MIS_AE_HIERARCHY_Load,BCBS_Staging01,,ACN_DIM_MIS_AE_HIERARCHY_Load,ACN_DIM_MIS_AE_HIERARCHY_Load,ACN00563,ACN_STG3_DLY,,
ACN_DIM_MIS_AE_HIERARCHY_SNP_Load,BCBS_Staging01,,ACN_DIM_MIS_AE_HIERARCHY_SNP_Load,ACN_DIM_MIS_AE_HIERARCHY_SNP_Load,ACN00564,ACN_HDS1_DLY,,
ACN_Dscacs_Extract,CBRT,,ACN_Dscacs_Extract,ACN_Dscacs_Extract,ACN0002,ACN010SC_STG1,,
ACN_Dscacs_HDS_Load,CBRT,,ACN_Dscacs_HDS_Load,ACN_Dscacs_HDS_Load,ACN0006,ACN010SC_STG1,,
ACN_Dscacs_Load,CBRT,,ACN_Dscacs_Load,ACN_Dscacs_Load,ACN0005,ACN010SC_STG1,,
ACN_Dscacs_Trans,CBRT,,ACN_Dscacs_Trans,ACN_Dscacs_Trans,ACN0004,ACN010SC_STG1,,
ACN_Dscaex_Extract,CBRT,,ACN_Dscaex_Extract,ACN_Dscaex_Extract,ACN0008,ACN010SC_STG1,,
ACN_Dscaex_HDS_Load,CBRT,,ACN_Dscaex_HDS_Load,ACN_Dscaex_HDS_Load,ACN0012,ACN010SC_STG1,,
ACN_Dscaex_Load,CBRT,,ACN_Dscaex_Load,ACN_Dscaex_Load,ACN0011,ACN010SC_STG1,,
ACN_Dscaex_Trans,CBRT,,ACN_Dscaex_Trans,ACN_Dscaex_Trans,ACN0010,ACN010SC_STG1,,
ACN_Dscaia_Extract,CBRT,,ACN_Dscaia_Extract,ACN_Dscaia_Extract,ACN0014,ACN010SC_STG1,,
ACN_Dscaia_HDS_Load,CBRT,,ACN_Dscaia_HDS_Load,ACN_Dscaia_HDS_Load,ACN0018,ACN010SC_STG1,,
ACN_Dscaia_Load,CBRT,,ACN_Dscaia_Load,ACN_Dscaia_Load,ACN0017,ACN010SC_STG1,,
ACN_Dscaia_Trans,CBRT,,ACN_Dscaia_Trans,ACN_Dscaia_Trans,ACN0016,ACN010SC_STG1,,
ACN_Dscaid_Extract,CBRT,,ACN_Dscaid_Extract,ACN_Dscaid_Extract,ACN0020,ACN010SC_STG1,,
ACN_Dscaid_HDS_Load,CBRT,,ACN_Dscaid_HDS_Load,ACN_Dscaid_HDS_Load,ACN0024,ACN010SC_STG1,,
ACN_Dscaid_Load,CBRT,,ACN_Dscaid_Load,ACN_Dscaid_Load,ACN0023,ACN010SC_STG1,,
ACN_Dscaid_Trans,CBRT,,ACN_Dscaid_Trans,ACN_Dscaid_Trans,ACN0022,ACN010SC_STG1,,
ACN_Dscart_Extract,CBRT,,ACN_Dscart_Extract,ACN_Dscart_Extract,ACN0026,ACN010SC_STG1,,
ACN_Dscart_HDS_Load,CBRT,,ACN_Dscart_HDS_Load,ACN_Dscart_HDS_Load,ACN0030,ACN010SC_STG1,,
ACN_Dscart_Load,CBRT,,ACN_Dscart_Load,ACN_Dscart_Load,ACN0029,ACN010SC_STG1,,
